date,duoarea,value_mmbbl
2021-10-01,R30,43.355
2021-10-01,R40,3.476
2021-10-01,R50,12.313
2021-10-08,NUS,129.307
2021-10-08,R10,37.869
2021-10-08,R20,31.05
2021-10-08,R30,44.096
2021-10-08,R40,3.381
2021-10-08,R50,12.911
2021-10-15,NUS,125.394
2021-10-15,R10,38.737
2021-10-15,R20,31.044
2021-10-15,R30,40.843
2021-10-15,R40,3.432
2021-10-15,R50,11.338
2021-10-22,NUS,124.962
2021-10-22,R10,38.495
2021-10-22,R20,30.048
2021-10-22,R30,41.272
2021-10-22,R40,3.38
2021-10-22,R50,11.767
2021-10-29,NUS,127.122
2021-10-29,R10,40.51
2021-10-29,R20,29.374
2021-10-29,R30,41.133
2021-10-29,R40,3.565
2021-10-29,R50,12.54
2021-11-05,NUS,124.509
2021-11-05,R10,39.442
2021-11-05,R20,29.117
2021-11-05,R30,41.165
2021-11-05,R40,3.429
2021-11-05,R50,11.357
2021-11-12,NUS,123.685
2021-11-12,R10,39.907
2021-11-12,R20,27.471
2021-11-12,R30,41.365
2021-11-12,R40,3.173
2021-11-12,R50,11.768
2021-11-19,NUS,121.717
2021-11-19,R10,40.225
2021-11-19,R20,26.193
2021-11-19,R30,40.658
2021-11-19,R40,3.396
2021-11-19,R50,11.245
2021-11-26,NUS,123.877
2021-11-26,R10,41.616
2021-11-26,R20,26.554
2021-11-26,R30,40.665
2021-11-26,R40,3.603
2021-11-26,R50,11.438
2021-12-03,NUS,126.61
2021-12-03,R10,44.483
2021-12-03,R20,27.083
2021-12-03,R30,38.958
2021-12-03,R40,4.08
2021-12-03,R50,12.006
2021-12-10,NUS,123.758
2021-12-10,R10,43.082
2021-12-10,R20,26.309
2021-12-10,R30,38.88
2021-12-10,R40,4.093
2021-12-10,R50,11.393
2021-12-17,NUS,124.154
2021-12-17,R10,42.745
2021-12-17,R20,26.195
2021-12-17,R30,39.738
2021-12-17,R40,4.121
2021-12-17,R50,11.354
2021-12-24,NUS,122.428
2021-12-24,R10,42.116
2021-12-24,R20,25.594
2021-12-24,R30,38.277
2021-12-24,R40,4.138
2021-12-24,R50,12.304
2021-12-31,NUS,126.846
2021-12-31,R10,42.021
2021-12-31,R20,28.558
2021-12-31,R30,38.781
2021-12-31,R40,4.399
2021-12-31,R50,13.088
2022-01-07,NUS,129.383
2022-01-07,R10,41.892
2022-01-07,R20,30.479
2022-01-07,R30,39.276
2022-01-07,R40,4.442
2022-01-07,R50,13.295
2022-01-14,NUS,127.952
2022-01-14,R10,40.967
2022-01-14,R20,31.059
2022-01-14,R30,39.304
2022-01-14,R40,4.271
2022-01-14,R50,12.352
2022-01-21,NUS,125.154
2022-01-21,R10,37.152
2022-01-21,R20,31.124
2022-01-21,R30,40.512
2022-01-21,R40,3.957
2022-01-21,R50,12.409
2022-01-28,NUS,122.744
2022-01-28,R10,35.649
2022-01-28,R20,31.687
2022-01-28,R30,38.551
2022-01-28,R40,3.949
2022-01-28,R50,12.909
2022-02-04,NUS,121.814
2022-02-04,R10,32.837
2022-02-04,R20,32.047
2022-02-04,R30,39.851
2022-02-04,R40,3.974
2022-02-04,R50,13.106
2022-02-11,NUS,120.262
2022-02-11,R10,33.862
2022-02-11,R20,31.656
2022-02-11,R30,37.615
