date,duoarea,value_mmbbl
2022-02-18,R40,24.153
2022-02-18,R50,50.554
2022-02-25,NUS,413.425
2022-02-25,R10,7.093
2022-02-25,R20,101.872
2022-02-25,R30,230.419
2022-02-25,R40,24.05
2022-02-25,R50,49.991
2022-03-04,NUS,411.562
2022-03-04,R10,7.567
2022-03-04,R20,100.834
2022-03-04,R30,229.255
2022-03-04,R40,23.534
2022-03-04,R50,50.373
2022-03-11,NUS,415.907
2022-03-11,R10,7.469
2022-03-11,R20,101.01
2022-03-11,R30,234.614
2022-03-11,R40,23.666
2022-03-11,R50,49.149
2022-03-18,NUS,413.399
2022-03-18,R10,7.03
2022-03-18,R20,103.039
2022-03-18,R30,228.052
2022-03-18,R40,24.182
2022-03-18,R50,51.096
2022-03-25,NUS,409.95
2022-03-25,R10,7.899
2022-03-25,R20,102.399
2022-03-25,R30,225.541
2022-03-25,R40,25.52
2022-03-25,R50,48.591
2022-04-01,NUS,412.371
2022-04-01,R10,7.045
2022-04-01,R20,105.444
2022-04-01,R30,227.705
2022-04-01,R40,25.455
2022-04-01,R50,46.722
2022-04-08,NUS,421.753
2022-04-08,R10,7.62
2022-04-08,R20,107.251
2022-04-08,R30,232.569
2022-04-08,R40,24.927
2022-04-08,R50,49.386
2022-04-15,NUS,413.733
2022-04-15,R10,7.264
2022-04-15,R20,105.845
2022-04-15,R30,229.068
